"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"214";"Sergipe";"Regular do ensino médio";"Branca";0,167758826763304;0,0236679388239691
"215";"Sergipe";"Regular do ensino médio";"Negra";0,821375483641033;0,0227865995317853
"216";"Sergipe";"Regular do ensino médio";"Outros";0,0108656895956635;0,00821546888530512
"217";"Bahia";"Regular do ensino médio";"Branca";0,163026365435464;0,0166734190050591
"218";"Bahia";"Regular do ensino médio";"Negra";0,829324910656893;0,0162308940742212
"219";"Bahia";"Regular do ensino médio";"Outros";0,00764872390764286;0,00378942881902889
"220";"Minas Gerais";"Regular do ensino médio";"Branca";0,335921471416445;0,0166132198771344
"221";"Minas Gerais";"Regular do ensino médio";"Negra";0,662535405630376;0,01660131127183
"222";"Minas Gerais";"Regular do ensino médio";"Outros";0,00154312295317813;0,00110117665034292
"223";"Espírito Santo";"Regular do ensino médio";"Branca";0,339994855392302;0,0251217035202784
"224";"Espírito Santo";"Regular do ensino médio";"Negra";0,65466331132063;0,0246634321645855
"225";"Espírito Santo";"Regular do ensino médio";"Outros";0,00534183328706808;0,00339989648932104
"226";"Rio de Janeiro";"Regular do ensino médio";"Branca";0,406983296745622;0,0195734904699398
"227";"Rio de Janeiro";"Regular do ensino médio";"Negra";0,590734657551828;0,0197351388191472
"228";"Rio de Janeiro";"Regular do ensino médio";"Outros";0,00228204570254943;0,00141623181234669
"229";"São Paulo";"Regular do ensino médio";"Branca";0,54309400947861;0,01844530318588
"230";"São Paulo";"Regular do ensino médio";"Negra";0,447518504152411;0,0184118574241637
"231";"São Paulo";"Regular do ensino médio";"Outros";0,00938748636897845;0,00305440541927671
"232";"Paraná";"Regular do ensino médio";"Branca";0,603219357140586;0,020328252513696
"233";"Paraná";"Regular do ensino médio";"Negra";0,385409966067858;0,0204296991296518
"234";"Paraná";"Regular do ensino médio";"Outros";0,0113706767915561;0,00419436096891784
"235";"Santa Catarina";"Regular do ensino médio";"Branca";0,799126365810173;0,0162858311557045
"236";"Santa Catarina";"Regular do ensino médio";"Negra";0,197561813685008;0,0162800628933494
"237";"Santa Catarina";"Regular do ensino médio";"Outros";0,0033118205048181;0,00201630943790588
"238";"Rio Grande do Sul";"Regular do ensino médio";"Branca";0,753742750648753;0,0187104157115531
"239";"Rio Grande do Sul";"Regular do ensino médio";"Negra";0,243384239054546;0,0186702632341369
"240";"Rio Grande do Sul";"Regular do ensino médio";"Outros";0,00287301029670094;0,00228795075882988
"241";"Mato Grosso do Sul";"Regular do ensino médio";"Branca";0,398629284010356;0,0292683296970494
"242";"Mato Grosso do Sul";"Regular do ensino médio";"Negra";0,584857944348448;0,0295800608401722
"243";"Mato Grosso do Sul";"Regular do ensino médio";"Outros";0,0165127716411961;0,00824285927284121
"244";"Mato Grosso";"Regular do ensino médio";"Branca";0,23027727881808;0,0226146102478682
"245";"Mato Grosso";"Regular do ensino médio";"Negra";0,748643670359236;0,0223678998040758
"246";"Mato Grosso";"Regular do ensino médio";"Outros";0,0210790508226837;0,00869744735419995
"247";"Goiás";"Regular do ensino médio";"Branca";0,327816404660647;0,0213645438136616
"248";"Goiás";"Regular do ensino médio";"Negra";0,662101356861164;0,0216167644524279
"249";"Goiás";"Regular do ensino médio";"Outros";0,0100822384781892;0,00421040422578948
"250";"Distrito Federal";"Regular do ensino médio";"Branca";0,395488072550294;0,0329145056673798
"251";"Distrito Federal";"Regular do ensino médio";"Negra";0,598341416747049;0,0329432607615116
"252";"Distrito Federal";"Regular do ensino médio";"Outros";0,00617051070265649;0,00413336818282651
